RowNumber,CustomerId,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Spain,Geography_Germany,Gender_Female,Gender_Male,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge,Set
1,15634602,Hargrave,0.5379999999999999,0.3243243243243243,0.2,0.0,0.0,1,1,0.5067348931822989,1,1,-1,-1,1,-1,0.0,0.0857142857142857,0.23508308157099694,Test
2,15647311,Hill,0.5159999999999999,0.3108108108108108,0.1,0.334031478677259,0.0,-1,1,0.5627087386845444,0,-1,1,-1,1,-1,7.015554181687527e-05,0.04390243902439024,0.23725222901775844,Train
3,15619304,Onio,0.30399999999999994,0.3243243243243243,0.8,0.6363571759354565,0.6666666666666667,1,-1,0.5696543519906151,1,1,-1,-1,1,-1,0.00013202261106814392,0.3428571428571428,0.16880664652567973,Train
4,15701354,Boni,0.6980000000000001,0.2837837837837838,0.1,0.0,0.3333333333333333,-1,-1,0.46912005096486714,0,1,-1,-1,1,-1,0.0,0.04615384615384615,0.31085870323030446,Test
5,15737888,Mitchell,0.9999999999999999,0.3378378378378379,0.2,0.5002462155052676,0.0,1,1,0.3954003607344502,0,-1,1,-1,1,-1,0.00014951545581221617,0.08372093023255812,0.354738986861519,Train
6,15574012,Chu,0.59,0.35135135135135137,0.8,0.45339436422174445,0.3333333333333333,1,-1,0.7487971601287922,1,-1,1,-1,-1,1,7.156180413069243e-05,0.32727272727272727,0.2332034468552595,Train
7,15592531,Bartlett,0.9440000000000001,0.4324324324324324,0.7000000000000001,0.0,0.3333333333333333,1,1,0.050260899915941966,0,1,-1,-1,-1,1,0.0,0.252,0.27557401812688825,Train
8,15656148,Obinna,0.051999999999999935,0.14864864864864863,0.4,0.4585397202505608,1.0,1,-1,0.5967334880481086,1,-1,-1,1,1,-1,9.081494946790527e-05,0.24827586206896549,0.19291071986665276,Train
9,15792365,He,0.30199999999999994,0.35135135135135137,0.4,0.5661703921301275,0.3333333333333333,-1,1,0.37468038197647874,0,1,-1,-1,-1,1,0.00017857556045560493,0.16363636363636364,0.15534022246635537,Test
10,15592389,H?,0.668,0.12162162162162166,0.2,0.5364882610306042,0.0,1,1,0.3586049967771922,0,1,-1,-1,-1,1,0.00017679773648064385,0.1333333333333333,0.48716012084592136,Train
11,15767821,Bearce,0.356,0.1756756756756757,0.6000000000000001,0.4066062041365082,0.3333333333333333,-1,-1,0.40088598461153035,0,1,-1,-1,-1,1,0.00011986526133938773,0.3483870967741935,0.28966475002436404,Test
12,15737173,Andrews,0.29399999999999993,0.08108108108108109,0.30000000000000004,0.0,0.3333333333333333,1,-1,0.3819286241836095,0,-1,1,-1,-1,1,0.0,0.22499999999999998,0.3771242447129909,Train
13,15632264,Kay,0.252,0.21621621621621623,1.0,0.0,0.3333333333333333,1,-1,0.13125953528561976,0,1,-1,-1,1,-1,0.0,0.5294117647058824,0.21752265861027187,Test
14,15691483,Chin,0.398,0.09459459459459457,0.5,0.0,0.3333333333333333,-1,-1,0.9543221877689319,0,1,-1,-1,1,-1,0.0,0.36,0.4069033232628399,Train
